Gene	N_mutations	Mean	Median	95CI_lower	95CI_upper	Min	Max	MSC	Source
5S_rRNA	2	27.4	27.4	17.20023634	37.59976366	21.8	33	17.20023634	HGMD
A2ML1	16	24.414625	24.35	0.866396415	47.96285359	0.004	46	0.866396415	HGMD
A4GALT	31	28.34141935	27.6	9.848916699	46.83392201	7.714	42	9.848916699	HGMD
AAAS	99	31.66594949	33	14.78628051	48.54561848	9.139	50	14.78628051	HGMD
AAGAB	45	32.12222222	34	17.4303188	46.81412565	19.3	41	17.4303188	HGMD
AAMP	4	28.8	29	23.87214838	33.72785162	23.2	34	23.87214838	HGMD
AARS1	52	29.35598077	30.5	14.65637214	44.0555894	0.011	40	14.65637214	HGMD
AARS2	67	29.70552239	29.8	13.71049115	45.70055363	10.72	47	13.71049115	HGMD
AASS	14	29.91428571	29.75	17.34281472	42.48575671	23.1	40	17.34281472	HGMD
AATF	2	27.15	27.15	23.78043522	30.51956478	25.3	29	23.78043522	HGMD
ABAT	14	30.27857143	29.55	23.69188501	36.86525784	27.1	35	23.69188501	HGMD
ABCA1	179	28.81634637	28.8	6.225819298	51.40687344	0.023	50	6.225819298	HGMD
ABCA12	258	29.52573256	29.3	10.84395032	48.2075148	1.326	50	10.84395032	HGMD
ABCA13	15	24.1536	25.7	4.965393807	43.34180619	6.874	34	4.965393807	HGMD
ABCA17P	4	23.1	24.3	19.66100259	26.53899741	18.6	25.2	19.66100259	HGMD
ABCA2	5	26.022	25	19.33591556	32.70808444	19.71	36	19.33591556	HGMD
ABCA3	222	27.46566216	26.75	9.513099378	45.41822495	0.031	44	9.513099378	HGMD
ABCA4	1671	27.75500718	27.4	6.855554792	48.65445957	0.006	60	6.855554792	HGMD
ABCA5	4	27.3125	31.5	16.73763296	37.88736704	13.25	33	16.73763296	HGMD
ABCA7	25	30.9072	33	12.77696893	49.03743107	12.18	42	12.77696893	HGMD
ABCA8	3	31	32	21.83255632	40.16744368	23	38	21.83255632	HGMD
ABCB1	5	27.096	29.9	12.39561493	41.79638507	6.08	44	12.39561493	HGMD
ABCB11	394	28.07341371	28.2	8.860992559	47.28583485	0.045	56	8.860992559	HGMD
ABCB4	341	28.01626393	27.6	11.58778821	44.44473965	0.924	46	11.58778821	HGMD
ABCB6	23	26.30730435	27.2	10.8419369	41.7726718	5.958	34	10.8419369	HGMD
ABCB7	10	25.53	25.2	17.51254768	33.54745232	21.2	32	17.51254768	HGMD
ABCC12	2	21.93	21.93	10.1456302	33.7143698	15.46	28.4	10.1456302	HGMD
ABCC2	104	30.60644231	30.3	12.5695058	48.64337882	16.62	51	12.5695058	HGMD
ABCC6	449	26.80344543	26.8	6.19447648	47.41241439	0.011	54	6.19447648	HGMD
ABCC8	1011	29.44756973	29	10.23845684	48.65668263	0.006	61	10.23845684	HGMD
ABCC9	70	28.29805714	28.05	14.52652826	42.06958603	0.004	43	14.52652826	HGMD
ABCD1	728	27.87541896	27.3	13.04080442	42.71003349	0.007	51	13.04080442	HGMD
ABCD3	2	32.4	32.4	27.66439544	37.13560456	29.8	35	27.66439544	HGMD
ABCD4	9	27.75777778	32	20.85102277	34.66453278	12.04	36	20.85102277	HGMD
ABCG1	3	17.82	20.3	10.17314602	25.46685398	10.66	22.5	10.17314602	HGMD
ABCG2	2	29.25	29.25	22.41980112	36.08019888	25.5	33	22.41980112	HGMD
ABCG5	72	28.96794444	29.35	8.643939009	49.29194988	2.162	50	8.643939009	HGMD
ABCG8	97	29.61903093	28.9	7.551507799	51.68655406	2.162	54	7.551507799	HGMD
ABHD12	28	32.38464286	34	15.07686955	49.69241617	17.07	47	15.07686955	HGMD
ABHD12B	15	31.254	30	15.1838201	47.3241799	19.71	48	15.1838201	HGMD
ABHD14B	5	26.38	24.5	21.69148119	31.06851881	22.3	33	21.69148119	HGMD
ABHD15-AS1	6	27.83333333	28.2	24.48879387	31.17787279	23.5	32	24.48879387	HGMD
ABHD16A	9	34.33333333	33	27.50800071	41.15866595	21.4	51	27.50800071	HGMD
ABHD5	42	31.06659524	33	14.23428937	47.8989011	9.247	42	14.23428937	HGMD
ABI1	2	32.85	32.85	23.46986021	42.23013979	27.7	38	23.46986021	HGMD
ABI3BP	4	26.1375	27.75	18.03599281	34.23900719	17.05	32	18.03599281	HGMD
ABL1	14	28.02857143	28.6	15.72860464	40.32853822	14.8	34	15.72860464	HGMD
ABRAXAS1	7	25.33428571	21.9	18.24406905	32.42450238	16.89	37	18.24406905	HGMD
ABRAXAS1P2	4	18.26225	19.165	7.025510913	29.49898909	5.419	29.3	7.025510913	HGMD
ABRAXAS2	2	28.1	28.1	17.35382043	38.84617957	22.2	34	17.35382043	HGMD
ACAA1	8	29.575	30	24.10368336	35.04631664	21.2	38	24.10368336	HGMD
ACACA	4	29.15	29.95	24.68806806	33.61193194	23.7	33	24.68806806	HGMD
ACAD11	4	31.175	32.2	25.90683475	36.44316525	25.3	35	25.90683475	HGMD
ACAD8	63	26.18857143	26.8	11.41041968	40.96672318	1.97	35	11.41041968	HGMD
ACAD9	70	27.15385714	26.95	14.55164642	39.75606787	11	40	14.55164642	HGMD
ACAD9-DT	3	20.4	19.23	16.1909026	24.6090974	17.67	24.3	16.1909026	HGMD
ACADM	204	28.20070588	28.2	10.25360615	46.14780562	0.006	46	10.25360615	HGMD
ACADS	84	29.66952381	29.65	14.15564772	45.1833999	16.64	53	14.15564772	HGMD
ACADSB	20	27.26405	27.55	0.984214724	53.54388528	1.181	45	0.984214724	HGMD
ACADVL	401	28.43331671	28.6	10.82406019	46.04257322	0.003	53	10.82406019	HGMD
ACAN	146	29.98441781	29.9	8.20113886	51.76769676	0.143	51	8.20113886	HGMD
ACAP3	11	25.17	25.8	12.54119845	37.79880155	12.97	32	12.54119845	HGMD
